groupings
NSCLC
GYN
NSCLC
NSCLC
GYN
HNC
UC
GYN
GI
UC
UC
UC
NSCLC
NSCLC
UC
NSCLC
UC
GYN
UC
UC
UC
GI
GYN
GYN
UC
GI
HBC
UC
UC
HBC
HBC
UC
NSCLC
GI
HNC
UC
UC
HBC
UC
NSCLC
GI
GI
HBC
UC
HNC
GI
UC
UC
UC
GYN
UC
GI
GI
UC
NSCLC
MEL
HNC
UC
GI
UC
UC
UC
UC
HNC
GYN
GI
HNC
NSCLC
RCC
NSCLC
NSCLC
GI
MEL
RCC
MEL
HNC
MEL
GYN
NSCLC
GYN
HNC
UC
GYN
GI
UC
UC
NSCLC
UC
UC
GYN
UC
UC
UC
GI
GYN
GYN
GI
HBC
UC
HBC
